 ,Voxels,Volume(mm^3),%Volume,Mean,StdDev,Min,Max,Mode,Median
1,21952,175616,100,564.753,257.573,0,1293,439.418,527
2,21952,175616,100,33451.597,400.513,32652,34818,32787.375,33417
3,21952,175616,100,33285.570,250.941,32724,34563,33284.320,33276
4,21952,175616,100,435.280,185.351,0,1499,462.582,446
5,21952,175616,100,516.935,265.879,0,1629,0.000,483
6,21952,175616,100,435.873,248.228,0,1160,9.062,401
7,21952,175616,100,426.146,307.780,0,1362,10.641,399
8,21952,175616,100,448.707,205.272,0,1226,263.398,398
9,21952,175616,100,33169.250,226.675,32735,34082,33176.984,33166
10,21952,175616,100,394.624,201.012,0,1346,325.984,340
11,21952,175616,100,423.391,186.603,1,1426,429.613,413
12,21952,175616,100,364.985,217.864,0,1151,4.496,333
13,21952,175616,100,432.858,299.119,0,1512,11.812,414
14,21952,175616,100,424.869,236.150,0,1305,361.934,377
15,21952,175616,100,33593.314,406.803,32657,35331,33523.961,33533
16,21952,175616,100,33513.798,232.794,32802,35516,33448.695,33476
17,21952,175616,100,292.139,156.597,0,1567,12.242,315
18,21952,175616,100,33462.814,426.314,32624,35373,32817.289,33491
19,21952,175616,100,460.728,288.443,0,1140,8.906,454
20,21952,175616,100,408.548,129.656,0,1166,432.695,426
21,21952,175616,100,306.827,197.706,0,700,13.672,336
22,21952,175616,100,570.250,261.071,4,1704,322.750,534
23,21952,175616,100,277.558,180.861,0,896,10.500,299
24,21952,175616,100,327.709,234.089,0,1039,8.117,360
25,21952,175616,100,420.980,204.637,0,1227,373.852,387
26,21952,175616,100,33416.072,331.855,32745,34710,33297.656,33380
27,21952,175616,100,33034.664,154.884,32762,33651,32782.836,33042
28,21952,175616,100,497.572,290.900,0,1335,15.645,485
29,21952,175616,100,620.196,277.244,0,1840,539.062,568
30,21952,175616,100,32912.462,92.203,32760,33242,32776.945,32904
31,21952,175616,100,33224.618,145.728,32776,34349,33212.262,33222
32,21952,175616,100,174.358,120.021,0,584,6.844,174
33,21952,175616,100,557.954,232.805,0,1458,398.672,504
34,21952,175616,100,33656.213,348.709,32746,35239,33690.613,33676
35,21952,175616,100,33399.137,327.904,32742,34726,33369.750,33402
36,21952,175616,100,33326.402,252.532,32733,34589,33313.000,33316
37,21952,175616,100,111.786,133.470,0,1130,8.828,54
38,21952,175616,100,33001.641,177.200,32754,33732,32776.922,32986
39,21952,175616,100,32894.172,77.786,32760,33155,32773.887,32890
40,21952,175616,100,33718.800,374.665,32708,35771,33653.223,33671
41,21952,175616,100,272.503,130.413,0,904,3.531,278
42,21952,175616,100,299.089,165.307,0,1073,0.000,294
43,21952,175616,100,33149.131,187.733,32777,34287,33113.211,33120
44,21952,175616,100,33228.015,256.899,32745,34310,32787.793,33231
45,21952,175616,100,33300.497,348.084,32761,34566,32782.152,33297
